stab|9276579 6,7,9,2,1,5,4,3,8 99 0
stab|9276589 5,2,8,6,3,9,4,1,7 225 0
stab|9276589 8,2,5,7,1,4,9,3,6 115 0
stab|9276590 2,1,4,3,8,9,7,5,6 12 0
stab|9276594 8,7,5,2,6,3,4,9,1 195 0
stab|9276594 9,4,6,7,3,5,2,1,8 244 0
edge|5000000|38|4919368 1,9,3,7,6,5,4,8,2 129 0
edge|5000000|41|5252845 3,9,1,2,6,5,4,8,7 195 0
edge|5000003|59|5083764 9,1,4,5,6,7,3,2,8 129 0
edge|5000006|82|5200076 6,7,8,5,4,3,2,1,9 31 0
edge|5000010|47|4825004 9,1,2,4,5,6,7,8,3 255 0
edge|5000016|19|4138615 8,7,6,5,4,9,1,2,3 7 0
edge|5000022|28|5264844 9,3,4,5,6,2,1,7,8 195 0
edge|5000022|70|5664073 8,7,1,2,6,5,4,3,9 195 0
edge|5000023|43|5414979 7,6,2,3,4,5,8,9,1 31 0
edge|5000025|51|4419235 3,4,5,8,7,6,2,1,9 31 0
edge|5000026|57|4439744 9,1,2,6,7,8,5,4,3 31 0
edge|5000026|81|4029989 6,2,1,9,3,4,5,8,7 195 0
edge|5000027|62|4339377 1,2,6,7,3,4,5,8,9 124 0
edge|5000027|81|4150008 9,8,5,4,3,7,6,2,1 124 0
edge|5000027|119|5220997 2,6,7,3,8,5,4,9,1 229 0
edge|5000029|22|5180319 7,8,4,5,6,2,1,9,3 195 0
edge|5000036|30|3460487 8,9,1,4,5,6,2,3,7 71 0
edge|5000039|42|5202657 4,1,9,8,3,2,6,7,5 113 0
edge|5000053|64|5590692 6,2,3,8,9,1,4,5,7 33 0
edge|5000064|54|5462899 8,7,6,5,4,1,2,3,9 248 0
edge|5000111|99|4775397 5,4,2,1,9,3,8,7,6 27 0
edge|5000114|33|5590659 4,5,8,3,7,6,2,1,9 27 0
edge|5000139|96|5854146 8,3,9,1,2,4,5,6,7 123 0
edge|5000140|6|6106301 2,1,9,3,8,4,5,7,6 123 0
edge|5000202|50|4633703 1,9,5,4,3,8,7,6,2 253 0
edge|5000241|56|6300828 6,5,8,7,3,4,9,1,2 51 0
edge|5000268|67|6443546 8,5,6,2,3,4,9,1,7 113 0
edge|5000278|107|6386085 3,4,5,6,2,8,7,1,9 253 0
edge|5000279|5|3472522 2,1,7,6,5,4,3,9,8 0 0
edge|5000415|108|3689151 3,7,8,4,5,6,9,1,2 59 0
edge|5000417|13|3750770 3,2,1,9,5,6,7,8,4 247 0
edge|5000430|38|4310671 8,9,3,4,5,6,7,1,2 0 0
edge|5000493|7|5844766 8,2,6,5,4,3,7,1,9 253 0
edge|5000573|101|4793946 1,9,8,5,4,3,2,6,7 31 0
edge|5000584|52|5931490 2,1,7,6,5,4,3,8,9 0 0
edge|5000609|61|5779558 3,4,5,6,7,1,2,9,8 127 0
edge|5000641|113|4305628 9,2,1,7,6,3,4,5,8 227 0
edge|5000672|66|6062601 6,5,4,2,3,8,9,1,7 65 0
edge|5000672|80|6376674 5,6,7,8,3,2,1,9,4 247 0
edge|5000676|63|5536726 2,1,9,3,8,7,6,5,4 3 0
edge|5000680|23|4839305 5,7,6,8,9,1,2,3,4 15 0
edge|5000873|97|5390669 2,8,7,3,4,5,6,9,1 253 0
edge|5000898|47|5843612 9,1,7,3,4,5,6,2,8 253 0
edge|5001010|117|6232533 1,5,6,7,8,4,2,3,9 240 0
edge|5001018|28|3646426 9,6,5,4,8,7,3,2,1 56 0
edge|5001030|77|5069004 3,4,8,7,6,5,2,1,9 15 0
edge|5001073|104|6033269 7,1,9,8,3,2,4,5,6 65 0
edge|5001083|103|5536913 8,5,4,3,2,6,7,1,9 225 0
edge|5001210|43|4601739 7,6,5,8,2,3,4,9,1 129 0
edge|5001210|46|5832120 1,9,4,3,7,6,5,8,2 129 0
edge|5001211|106|5693812 1,9,4,3,2,8,5,6,7 129 0
edge|5001236|59|5587865 9,1,2,3,6,7,8,5,4 31 0
edge|5001304|92|5457998 6,5,4,3,2,1,7,8,9 0 0
edge|5001317|112|6518041 4,3,6,7,1,2,9,8,5 115 0
edge|5001393|88|5627588 3,1,2,9,8,7,6,5,4 7 0
edge|5001401|22|4598547 7,6,5,8,4,9,1,2,3 135 0
edge|5001410|69|6230644 2,8,7,6,5,4,1,9,3 3 0
edge|5001427|63|5398721 4,3,2,5,6,7,8,9,1 15 0
edge|5001444|35|6509832 3,7,6,2,1,9,8,5,4 27 0
edge|5001458|79|5182312 2,6,7,1,9,8,5,4,3 125 0
edge|5001461|61|5047330 2,6,7,1,4,5,8,9,3 26 0
edge|5001482|78|6472680 9,8,4,3,7,6,5,2,1 124 0
edge|5001490|71|6444634 3,7,6,2,1,4,5,8,9 124 0
edge|5001583|51|6428010 1,2,3,9,8,6,7,5,4 0 0
edge|5001614|78|4323187 4,5,8,9,1,2,6,7,3 27 0
edge|5001618|84|5430079 5,8,9,1,2,3,7,6,4 119 0
edge|5001741|97|6017928 7,3,9,1,2,4,8,5,6 59 0
edge|5001781|102|4496894 9,1,2,3,4,7,6,5,8 143 0
edge|5001819|111|5165572 7,6,5,8,9,1,2,3,4 127 0
edge|5001924|14|5192088 2,3,4,9,8,5,6,7,1 113 0
edge|5001924|102|5558891 5,6,7,1,2,3,4,9,8 0 0
edge|5001997|100|5671400 1,9,8,5,4,6,7,3,2 25 0
edge|5002000|61|5204969 4,5,8,9,2,6,7,1,3 26 0
edge|5002063|53|6280576 4,3,6,7,8,9,2,1,5 15 0
edge|5002087|103|6223033 3,4,5,6,7,1,2,8,9 127 0
edge|5002096|112|6493235 8,5,4,3,6,7,1,2,9 227 0
edge|5002270|104|4701367 2,3,4,5,8,7,6,9,1 225 0
edge|5002272|50|5813820 4,3,2,1,9,8,6,7,5 15 0
edge|5002480|69|5248630 9,6,7,8,4,5,1,2,3 231 0
edge|5002507|38|4032291 1,4,5,6,7,8,2,3,9 248 0
edge|5002531|113|5458717 5,6,7,8,9,3,4,2,1 0 0
edge|5002536|100|6111886 4,3,9,2,1,8,7,6,5 243 0
edge|5002540|113|5588025 8,9,2,1,3,4,5,6,7 127 0
edge|5002549|79|5035788 9,3,2,1,4,5,6,7,8 248 0
edge|5002550|102|5808204 5,4,1,2,3,6,7,8,9 7 0
edge|5002553|90|4668163 3,6,7,8,9,5,4,1,2 28 0
edge|5002554|43|5284439 9,2,3,8,7,6,5,4,1 254 0
edge|5002555|31|5608561 9,1,4,5,3,2,6,7,8 225 0
edge|5002555|41|5522140 6,2,3,5,4,1,9,8,7 33 0
edge|5002556|44|4060586 9,1,2,3,5,4,8,7,6 31 0
edge|5002556|48|4051213 8,4,5,3,2,1,9,6,7 127 0
edge|5002565|65|4251744 6,3,2,1,4,5,7,8,9 7 0
edge|5002585|57|3811080 9,8,7,5,4,1,2,3,6 7 0
edge|5002586|91|5934594 9,8,7,5,4,1,2,6,3 7 0
edge|5002587|116|5627103 5,7,8,9,3,6,2,1,4 40 0
edge|5002588|72|5974250 6,5,4,1,2,3,9,8,7 56 0
edge|5002591|81|5257325 8,7,5,4,3,6,2,1,9 223 0
edge|5002610|95|4484605 3,2,1,4,5,9,8,7,6 24 0
edge|5002625|22|4784658 4,5,8,7,6,9,1,2,3 231 0
edge|5002641|6|6361300 1,2,3,4,8,7,6,5,9 240 0
edge|5002641|43|4882895 1,9,6,7,8,5,4,3,2 225 0
edge|5002641|89|5672816 9,8,7,6,5,4,1,2,3 7 0
edge|5002641|110|5878095 9,8,7,6,3,2,1,4,5 7 0
edge|5002645|41|4168366 9,1,2,3,4,8,7,6,5 15 0
edge|5002666|8|5638304 6,7,8,9,3,2,1,4,5 24 0
edge|5002668|77|4189397 9,5,6,7,8,4,3,2,1 240 0
edge|5002726|89|6172391 3,6,5,4,1,7,8,9,2 58 0
edge|5002734|29|5972843 8,4,1,2,3,9,5,6,7 120 0
edge|5002735|48|4214786 3,2,1,9,6,7,8,4,5 231 0
edge|5002742|104|5662641 6,5,7,8,4,3,2,1,9 15 0
edge|5002748|75|5877431 3,2,1,9,6,7,8,5,4 231 0
edge|5002753|104|6520431 2,1,4,5,7,8,9,6,3 35 0
edge|5002760|104|4383905 9,7,8,4,5,6,3,2,1 56 0
edge|5002763|49|6424784 7,8,1,2,9,3,4,5,6 195 0
edge|5002765|98|4532846 4,1,2,3,9,5,6,7,8 248 0
edge|5002786|117|6236089 5,6,3,2,1,7,8,9,4 48 0
edge|5002794|97|5337359 4,7,6,5,9,8,3,2,1 112 0
