seed,beta,architecture,d,m,fvu,l0,dead_fraction,gram_penalty,mean_squared_coherence,max_absolute_coherence,factor1_max_positive_cosine,factor1_max_absolute_cosine,factor1_faithful_geometry,factor1_causal_concentration,factor1_causal_participation_ratio,factor1_causal_split_count,factor1_single_gain,factor1_family_gain,factor1_family_norm_ratio,factor1_family_cosine,factor1_nnls_residual,factor1_nnls_cosine,factor2_max_positive_cosine,factor2_max_absolute_cosine,factor2_faithful_geometry,factor2_causal_concentration,factor2_causal_participation_ratio,factor2_causal_split_count,factor2_single_gain,factor2_family_gain,factor2_family_norm_ratio,factor2_family_cosine,factor2_nnls_residual,factor2_nnls_cosine,mean_factor_max_positive_cosine,mean_factor_max_absolute_cosine,mean_factor_causal_concentration,mean_factor_causal_participation_ratio,mean_factor_causal_split_count,mean_factor_single_gain,mean_factor_family_gain,mean_factor_family_norm_ratio,mean_factor_family_cosine,mean_factor_nnls_residual,mean_factor_nnls_cosine,both_faithful_geometry,train_reconstruction_loss_last_batch,train_l1_last_batch,train_gram_last_step,train_total_last_batch,train_gradient_norm_last_batch,wall_seconds
4,0.0,l1,34,68,0.030860954895615578,15.97037037037037,0.0,77.75727844238281,0.03413401171565056,0.9986984729766846,0.7044731974601746,0.7355415225028992,False,0.25629110104313185,4.584739867628667,5,0.23381811537321665,0.9121258854866028,0.9133648872375488,0.9986435174942017,0.0,0.9999999996613543,0.701852023601532,0.7033506631851196,False,0.258034357615223,4.655525937157379,5,0.22938774558382563,0.8885697722434998,0.8903887271881104,0.997957170009613,0.0,1.0000000193237484,0.7031626105308533,0.7194460928440094,0.2571627293291774,4.620132902393022,5.0,0.23160293047852115,0.9003478288650513,0.9018768072128296,0.9983003437519073,0.0,1.0000000094925514,False,0.4685155749320984,8.721171379089355,77.75631713867188,2.2127498507499697,0.48267686457348974,6.551074981689453
4,0.025,l1,34,68,0.028414426371455193,20.102777777777778,0.0,38.19178771972656,0.016765490174293518,0.9631173014640808,0.9939545392990112,0.9939545392990112,True,0.9404418966851497,1.130187937190758,1,0.810868240033395,0.8616229891777039,0.8628815412521362,0.9985414743423462,0.0,0.9999999996613542,0.9816962480545044,0.9816962480545044,True,0.8735805480604134,1.2977956405542772,1,0.7462524280962854,0.8534463047981262,0.8548785448074341,0.9983246326446533,0.0,1.0000000193237484,0.9878253936767578,0.9878253936767578,0.9070112223727815,1.2139917888725176,1.0,0.7785603340648402,0.857534646987915,0.8588800430297852,0.9984330534934998,0.0,1.0000000094925512,True,0.52411288022995,10.395917892456055,38.1915168762207,3.5580843806266786,0.5847488757872602,6.503746509552002
4,0.0625,l1,34,68,0.030021626502275467,25.101388888888888,0.0,37.93598175048828,0.01665319688618183,0.990073025226593,0.9708128571510315,0.9708128571510315,True,0.8444855177642108,1.4002010194864303,1,0.7280594452436386,0.8616687059402466,0.8621935248374939,0.9993912577629089,0.0,0.9999999996613542,0.76141357421875,0.76141357421875,False,0.3048394448846874,6.399126993433654,7,0.24749387879751544,0.8118152618408203,0.8140098452568054,0.9973039627075195,0.0,1.0000000193237484,0.8661132156848907,0.8661132156848907,0.5746624813244491,3.8996640064600423,4.0,0.487776662020577,0.8367419838905334,0.8381016850471497,0.9983476102352142,0.0,1.0000000094925512,False,0.5912487506866455,11.60461711883545,37.93547058105469,5.283139085769653,1.1286917304447621,6.582310676574707
4,0.25,l1,34,68,0.03302198275923729,29.550925925925927,0.0,40.08565139770508,0.017596861347556114,0.9935278296470642,0.42296096682548523,0.46219074726104736,False,0.1368868587608043,17.105053078846137,20,0.10850140368981989,0.7908068895339966,0.7952621579170227,0.994397759437561,0.0,0.9999999996613541,0.575753927230835,0.6207424998283386,False,0.1952566191507989,11.197835555148057,12,0.15889480859577432,0.8097326159477234,0.8124271631240845,0.9966833591461182,0.0,1.0000000193237482,0.4993574470281601,0.541466623544693,0.1660717389558016,14.151444316997097,16.0,0.1336981061427971,0.80026975274086,0.8038446605205536,0.9955405592918396,0.0,1.0000000094925512,False,0.6890397071838379,15.535863876342773,40.08570098876953,13.817637729644776,5.180898132797988,6.670609712600708
4,0.5,l1,34,68,0.03523321449756622,29.942592592592593,0.0,43.12179183959961,0.018929671496152878,0.9994178414344788,0.44491323828697205,0.44491323828697205,False,0.10354486039358732,21.848675951752337,30,0.08228821605730431,0.7946387529373169,0.800200879573822,0.9930490851402283,0.0,0.9999999996613543,0.566196084022522,0.6117140650749207,False,0.1906844095715339,11.448596709639629,12,0.15622363314840285,0.8138492107391357,0.8169062733650208,0.9962577819824219,0.0,1.0000000193237484,0.505554661154747,0.5283136516809464,0.1471146349825606,16.648636330695982,21.0,0.11925592460285359,0.8042439818382263,0.8085535764694214,0.9946534335613251,0.0,1.0000000094925514,False,0.7294721603393555,16.67487335205078,43.121891021728516,25.625392341613768,12.123796722255591,6.698830604553223
5,0.0,l1,34,68,0.034004613757133484,15.647222222222222,0.0,79.01980590820312,0.03468823805451393,0.9982193112373352,0.7229971289634705,0.7229971289634705,False,0.25369885188538394,4.604155702513945,5,0.23208864956278494,0.9146580100059509,0.9160606861114502,0.9984687566757202,0.0,0.9999999996613544,0.692103385925293,0.692103385925293,False,0.24629568397569487,4.70648170109513,5,0.21909105204341828,0.8891340494155884,0.8910614252090454,0.9978370070457458,0.0,1.0000000193237484,0.7075502574443817,0.7075502574443817,0.2499972679305394,4.655318701804537,5.0,0.22558985080310162,0.9018960297107697,0.9035610556602478,0.998152881860733,0.0,1.0000000094925514,False,0.47705650329589844,8.741191864013672,79.01647186279297,2.2252948760986326,0.47527332650356796,6.598013877868652
5,0.025,l1,34,68,0.028674250468611717,19.099537037037038,0.0,39.99155044555664,0.01755555346608162,0.9807780981063843,0.9935617446899414,0.9935617446899414,True,0.9534428811955546,1.0996818292819328,1,0.8253882218792249,0.8651598691940308,0.8664841055870056,0.9984716773033142,0.0,0.9999999996613542,0.9714294672012329,0.9714294672012329,True,0.8718502414754075,1.2969460032578244,2,0.7396690258089974,0.8476438522338867,0.849504292011261,0.9978099465370178,0.0,1.0000000193237484,0.9824956059455872,0.9824956059455872,0.912646561335481,1.1983139162698786,1.5,0.7825286238441111,0.8564018607139587,0.8579941987991333,0.998140811920166,0.0,1.0000000094925512,True,0.5335108041763306,10.322673797607422,39.99073028564453,3.5978138208389283,0.6418776463387716,6.576982498168945
5,0.0625,l1,34,68,0.030105415731668472,23.743055555555557,0.0,38.51985168457031,0.016909504309296608,0.9909220933914185,0.9594219923019409,0.9594219923019409,True,0.7979827942295651,1.5638834170323623,1,0.6840567462363759,0.8569199442863464,0.8572824597358704,0.9995771646499634,0.0,0.9999999996613543,0.9121058583259583,0.9121058583259583,True,0.6471849031696891,2.272535332637853,3,0.5459580337752855,0.8435450792312622,0.8438122272491455,0.9996834397315979,0.0,1.0000000193237482,0.9357639253139496,0.9357639253139496,0.7225838486996271,1.9182093748351075,2.0,0.6150073900058307,0.8502325117588043,0.8505473434925079,0.9996303021907806,0.0,1.0000000094925512,True,0.6129977107048035,11.304811477661133,38.51995849609375,5.28145741224289,1.2139284737215728,6.643789529800415
5,0.25,l1,34,68,0.03583430126309395,29.62037037037037,0.0,39.954315185546875,0.017539208754897118,0.9961673021316528,0.5155168771743774,0.5155168771743774,False,0.1922288099057747,14.238311825470195,11,0.15208628605467925,0.7910035848617554,0.79523104429245,0.9946839809417725,0.0,0.9999999996613542,0.5992913842201233,0.6194799542427063,False,0.19789741137778602,10.614068063414715,12,0.15773585506883642,0.7959680557250977,0.8009598851203918,0.9937676787376404,0.0,1.0000000193237484,0.5574041306972504,0.5674984157085419,0.19506311064178036,12.426189944442456,11.5,0.15491107056175785,0.7934858202934265,0.7980954647064209,0.9942258298397064,0.0,1.0000000094925512,False,0.7858608365058899,15.901988983154297,39.954742431640625,13.954944241046906,5.302310668564562,6.512951135635376
5,0.5,l1,34,68,0.038690172135829926,30.974074074074075,0.0,40.93999481201172,0.017971903085708618,0.9974348545074463,0.5069695711135864,0.5069695711135864,False,0.2007192512325105,14.53432704433065,11,0.15930807311917025,0.7935078144073486,0.79816073179245,0.9941704869270325,0.0,0.9999999996613542,0.3521689176559448,0.6575012803077698,False,0.3846208132328629,6.042093993866889,5,0.3057632382209329,0.7945114374160767,0.7973756194114685,0.9964079856872559,0.0,1.0000000193237482,0.4295692443847656,0.5822354257106781,0.2926700322326867,10.288210519098769,8.0,0.23253565567005158,0.7940096259117126,0.7977681756019592,0.9952892363071442,0.0,1.0000000094925512,False,0.8751040101051331,17.714542388916016,40.940338134765625,24.88818155527115,11.154334352179342,6.839190483093262
